MWSC,N,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),deltaH,logt,e_logt,Nt
5051,1684,MWSC_5051        ,r,c,146.467,-7.005,243.267,33.615,0.012,0.11,0.195,-4.55,-1.27,1,14,28,1365,0.229,10.75,0.11,0.073,-0.01,9.45,       ,-1
5058,1369,MWSC_5058        ,r,c,152.073,12.318,225.93,49.075,0.025,0.135,0.23,2.38,-3.81,1,9,12,1191,0.062,10.4,0.03,0.02,0,8.95,       ,-1
5060,1503,MWSC_5060        ,r,c,152.617,-14.045,254.381,33.254,0.03,0.1,0.19,-2.83,-3.76,2,8,15,1445,0,10.8,0,0,-0.01,9.7,       ,-1
5062,1087,MWSC_5062        ,r,c,153.09,-9.181,250.618,37.05,0.012,0.08,0.12,-1.93,0.82,1,8,12,5232,0.021,13.6,0.01,0.007,0,9.45,       ,-1
5071,2523,MWSC_5071        , , ,158.182,-29.585,270.048,24.29,0.012,0.075,0.15,-11.63,6.8,1,10,21,1965,0.104,11.5,0.05,0.033,0,9.45,       ,-1
5076,1132,MWSC_5076        , , ,161.677,78.45,130.371,36.809,0.02,0.07,0.12,-1.67,1.54,3,8,17,9842,0.729,15.2,0.35,0.233,0,8.85,       ,-1
5083,2012,MWSC_5083        , , ,163.995,-32.405,276.33,24.437,0.012,0.08,0.125,-4.49,-1.99,1,11,15,4860,0.208,13.5,0.1,0.067,0,9.2,       ,-1
5088,2884,MWSC_5088        , , ,167.185,-32.53,279.044,25.537,0.02,0.095,0.185,-7.82,0.86,1,9,19,2831,0.125,12.3,0.06,0.04,-0.01,9.225,       ,-1
5116,3423,MWSC_5116        , , ,174.772,-36.34,287.001,24.286,0.02,0.1,0.18,-9.94,5.21,4,30,77,1622,0.156,11.1,0.075,0.05,0,9.515,       ,-1
5117,1534,MWSC_5117        , , ,175.08,-17.835,279.955,41.844,0.02,0.12,0.19,-4.42,1.66,1,9,17,1380,0,10.7,0,0,0,9.36,       ,-1
5122,2011,MWSC_5122        , , ,175.98,-28.798,285.506,31.781,0.012,0.085,0.17,-9.23,6.21,1,9,21,1947,0.167,11.5,0.08,0.053,0,9.5,       ,-1
5149,2018,MWSC_5149        , , ,184.192,-32.99,294.589,29.322,0.012,0.08,0.13,-6,1.08,1,12,16,1542,0.156,10.99,0.075,0.05,-0.01,9.5,       ,-1
5154,1043,MWSC_5154        , , ,186.24,4.045,286.447,66.068,0.03,0.16,0.26,-3.9,-9.3,1,9,12,799,0.042,9.525,0.02,0.013,0,9.5,       ,-1
5186,3442,MWSC_5186        , , ,197.317,-32.97,307.232,29.756,0.02,0.115,0.205,1,-1.59,4,19,40,1947,0.167,11.5,0.08,0.053,0,9.325,       ,-1
5191,3133,MWSC_5191        , , ,198.607,-34.19,308.331,28.444,0.012,0.095,0.161,-3,-4.9,1,22,51,1318,0.312,10.7,0.15,0.1,0,8.975,       ,-1
5215,5969,MWSC_5215        , , ,206.512,-41.843,313.703,19.887,0.03,0.105,0.175,-5.67,-0.57,12,40,79,3118,0.406,12.6,0.195,0.13,0.035,9.29,0.032,17
5224,3170,MWSC_5224        , , ,208.702,-31.71,318.363,29.259,0.02,0.1,0.195,-8.12,-0.77,2,14,41,1876,0.416,11.5,0.2,0.133,0.04,9.005,0.001,3
5231,1963,MWSC_5231        , , ,212.13,-19.465,326.818,39.809,0.02,0.1,0.16,-10.44,-5.43,1,9,11,1935,0.208,11.5,0.1,0.067,0,9.315,       ,1
5273,6997,MWSC_5273        , , ,226.767,-36.361,331.281,18.94,0.018,0.085,0.165,-9.56,-5.26,6,48,128,1599,0.25,11.1,0.12,0.08,0,9.445,0.033,9
5279,3890,MWSC_5279        , , ,227.902,-21.428,341.397,30.783,0.022,0.12,0.2,-1.23,-6.9,2,24,44,2066,0.385,11.7,0.185,0.123,0.02,9.1,       ,-1
5289,6329,MWSC_5289        , , ,230.827,-32.49,336.519,20.302,0.02,0.095,0.185,-1.45,-2.79,3,22,66,1672,0.104,11.15,0.05,0.033,0.01,9.45,       ,-1
5292,3940,MWSC_5292        , , ,231.802,-26.487,341.147,24.6,0.017,0.075,0.15,-4.99,-5.06,1,16,36,2276,0.354,11.9,0.17,0.113,0.015,9.365,       ,-1
5293,5672,MWSC_5293        , , ,232.569,-30.44,339.1,21.061,0.03,0.105,0.165,-5.39,-3.45,4,32,51,1414,0.458,10.9,0.22,0.147,0.01,9.22,0.103,2
5295,2349,MWSC_5295        , , ,233.662,-13.38,352.49,33.365,0.015,0.1,0.17,-4.26,-4.5,1,19,29,1764,0.208,11.3,0.1,0.067,0.03,9.36,       ,-1
5299,5376,MWSC_5299        , , ,235.47,-29,342.166,20.604,0.022,0.085,0.13,-2.27,-4.16,2,22,37,4473,0.146,13.3,0.07,0.047,0,9.4,       ,-1
5300,2704,MWSC_5300        , , ,235.935,-10.3,357.003,33.93,0.03,0.115,0.195,-3.29,-3.45,3,16,33,1506,0.344,11,0.165,0.11,0,9.4,       ,-1
5301,5608,MWSC_5301        , , ,236.287,-27.51,343.789,21.269,0.02,0.09,0.15,-1.42,-3.52,3,24,54,3950,0.364,13.1,0.175,0.117,0,9.3,       ,-1
5309,7284,MWSC_5309        , , ,242.415,-24.44,350.308,19.698,0.02,0.09,0.185,-3.8,-2.59,4,31,83,1724,0.364,11.3,0.175,0.117,0.01,9.025,       ,-1
